 WB 711   LHR3339XR-WP      KGL202410222020202410220520                                                202410222040                                      U                        
 WB 107   LUN7389XR-WR      KGL202410201400202410201600                                                            202410202117                          U                        
 WB 107   LUN7389XR-WR      KGL202410201400202410201600                                    202410202124                                                  U                        
 WB 305   DXB7389XR-WY      KGL202410222150202410220350                        202410222143                                                              U                        
 WB 305   DXB7389XR-WY      KGL202410222150202410220350                                                202410222207                                      U                        
 WB 304   KGL7389XR-WQ      DXB202410222230202410220430                        202410222230                                                              U                        
 WB 301   DOH7389XR-WG      KGL202410222245202410220435                        202410222246                                                              U                        
 WB 304   KGL7389XR-WQ      DXB202410222230202410220430                                                202410222248                                      U                        
 WB 301   DOH7389XR-WG      KGL202410222245202410220435                                                202410222259                                      U                        
 WB9314   KGL7389XR-WW      SHJ202410222300202410220500                        202410222317                                                              U                        
 WB9314   KGL7389XR-WW      SHJ202410222300202410220500                                                202410222350                                      U                        
 WB 102   KGL7389XR-WG      JNB202410232030202410230020                                                            202410230004                          U                        
 WB 102   KGL7389XR-WG      JNB202410232030202410230020                                    202410230012                                                  U                        
 WB 103   JNB7389XR-WR      KGL202410230110202410230500                        202410230109                                                              U                        
 WB 103   JNB7389XR-WR      KGL202410230110202410230500                                                202410230121                                      U                        
 WB 305   DXB7389XR-WQ      KGL202410232150202410230350                                                            202410230328                          U                        
 WB 305   DXB7389XR-WQ      KGL202410232150202410230350                                    202410230332                                                  U                        
 WB 304   KGL7389XR-WY      DXB202410232230202410230430                                                            202410230432                          U                        
 WB 301   DOH7389XR-WG      KGL202410222245202410220435                                                            202410220436                          U                        
 WB 301   DOH7389XR-WG      KGL202410222245202410220435                                    202410220442                                                  U                        
 WB 304   KGL7389XR-WY      DXB202410232230202410230430                                    202410230442                                                  U                        
 WB 103   JNB7389XR-WR      KGL202410230110202410230500                                                            202410230449                          U                        
 WB 711   LHR3329XR-WN      KGL202410232020202410230520                                                            202410230454                          U                        
 WB 103   JNB7389XR-WR      KGL202410230110202410230500                                    202410230457                                                  U                        
 WB9314   KGL7389XR-WW      SHJ202410222300202410220500                                                            202410220537                          U                        
 WB9314   KGL7389XR-WW      SHJ202410222300202410220500                                    202410220554                                                  U                        
 WB 434   KGLCRJ9XR-WI      EBB202410230640202410230740                        202410230614                                                              U                        
 WB 216   KGL7389XR-WR      LBV202410231050202410231230                        202410230617                                                              U                        
 WB 216   KGL7389XR-WR      LBV202410231050202410231230                                                202410230624                                      U                        
 WB 434   KGLCRJ9XR-WI      EBB202410230640202410230740                                                202410230627                                      U                        
 WB 220   KGL7389XR-WY      ABV202410201425202410201925                        202410200640                                                              U                        
